bin,referenceLeft_m,referenceRight_m,direction,samples,acquisition,signalEnergy,noiseEnergy,gate
136,0.1,0.11,-1,133,18,9.1787070049998e-05,0.000105980326285232,0.464116288887235
137,0.11,0.12,-1,133,18,6.88656536171946e-05,5.12710478526504e-05,0.573227438198645
138,0.12,0.13,-1,134,18,0.000129224048113979,6.38196304651139e-05,0.669403158213409
139,0.13,0.14,-1,133,18,0.000267784756591227,7.9505106100543e-05,0.771069891057816
140,0.14,0.15,-1,133,18,0.000158048756616824,5.90866164028791e-05,0.727881203411673
141,0.15,0.16,-1,134,18,0.000122209402466345,5.81381726129405e-05,0.677632634720033
142,0.16,0.17,-1,133,18,0.000442010385453514,6.42379627122534e-05,0.873109783083738
143,0.17,0.18,-1,133,18,0.000103276938440682,3.6741974082329e-05,0.737592776430893
144,0.18,0.19,-1,133,18,0.000242645619853594,0.000104969593475035,0.698029345522923
145,0.19,0.2,-1,134,18,0.000233964966135669,7.51692991698257e-05,0.756839316743029
146,0.2,0.21,-1,133,18,0.000283340756180815,6.05935454678719e-05,0.823822325434218
147,0.21,0.22,-1,134,18,0.000118903193747064,9.08352625650055e-05,0.566911742547339
148,0.22,0.23,-1,133,18,8.01629832948836e-05,7.11853473592036e-05,0.529658853509916
149,0.23,0.24,-1,133,18,8.60157357086389e-05,8.67182785929178e-05,0.497966402601365
150,0.24,0.25,-1,134,18,0.000183253986886591,0.000136619419033257,0.572895350145205
151,0.25,0.26,-1,133,18,0.000174127240638374,5.79154641161589e-05,0.750410321335355
152,0.26,0.27,-1,133,18,6.86436434118867e-05,0.000100415979950255,0.406032156269775
153,0.27,0.28,-1,134,18,0.000104263425915934,5.22364801809647e-05,0.666220373649158
154,0.28,0.29,-1,133,18,0.00013184943457194,6.36007538331218e-05,0.674593540420068
155,0.29,0.3,-1,133,18,0.000172372670133022,5.47861657804511e-05,0.758820009971703
156,0.3,0.31,-1,134,18,8.73136988310008e-05,7.8201957990206e-05,0.527525313966634
157,0.31,0.32,-1,133,18,6.84547180376534e-05,5.78199075002062e-05,0.542109847850068
158,0.32,0.33,-1,133,18,0.000182399379307481,8.78203091768413e-05,0.675004032202722
159,0.33,0.34,-1,133,18,2.3721809851177e-05,8.32515048150605e-05,0.221754462084215
160,0.34,0.35,-1,134,18,0.000113951883566457,7.09055649679622e-05,0.616431117436092
161,0.35,0.36,-1,133,18,6.69944987404744e-05,6.6153086205948e-05,0.503159698821668
162,0.36,0.37,-1,134,18,0.000172604141843531,6.7543315332619e-05,0.718742325540947
163,0.37,0.38,-1,133,18,0.000139880459194467,7.29133733854595e-05,0.657352036469041
164,0.38,0.39,-1,133,18,6.97401399951099e-05,5.83524647545347e-05,0.544450947276903
165,0.39,0.4,-1,134,18,0.000296522177301379,6.07961561740112e-05,0.829854361004405
166,0.4,0.41,-1,133,18,0.000207973120710071,5.15158856047716e-05,0.801471798993031
167,0.41,0.42,-1,133,18,0.000220156181366082,5.55830479827692e-05,0.798421689528811
168,0.42,0.43,-1,134,18,0.000125472864306072,3.66670880480013e-05,0.773855317485665
169,0.43,0.44,-1,133,18,0.000230177384720951,4.66862231671189e-05,0.831374648610397
170,0.44,0.45,-1,133,18,3.27203900316225e-05,8.02019531036448e-05,0.289760105247085
171,0.45,0.46,-1,133,18,0.000125555951119072,5.36319964519318e-05,0.700694175144341
172,0.46,0.47,-1,134,18,8.8180694851343e-05,7.83942001754866e-05,0.529375659142034
173,0.47,0.48,-1,133,18,6.55900435988158e-05,5.02324197518242e-05,0.566298123018235
174,0.48,0.49,-1,133,18,0.000119694391497034,6.00231250887195e-05,0.666014052335967
175,0.49,0.5,-1,134,18,0.000115583703459702,7.89206280054905e-05,0.594247452429543
176,0.5,0.51,-1,133,18,0.000198991661741743,4.1244327349518e-05,0.828317449414917
177,0.51,0.52,-1,134,18,0.000112836503346032,5.08025415250133e-05,0.68954511091746
178,0.52,0.53,-1,133,18,0.000145590195779603,2.94429970230761e-05,0.831786208366386
179,0.53,0.54,-1,133,18,0.000206577682925519,3.47931737924891e-05,0.85585180304871
180,0.54,0.55,-1,134,18,0.000171706366258583,6.98693036482142e-05,0.710776736435542
181,0.55,0.56,-1,133,18,0.000144091618813413,8.75862461960466e-05,0.621948146869921
182,0.56,0.57,-1,133,18,0.000276655178759713,4.70331615720739e-05,0.854696151477486
183,0.57,0.58,-1,134,18,0.000176661879601484,3.85432612994962e-05,0.820899904444055
184,0.58,0.59,-1,133,18,0.000259571895744177,6.73558535453724e-05,0.793973274854324
185,0.59,0.6,-1,133,18,0.000200657797612094,7.36079554667037e-05,0.731618130807765
186,0.6,0.61,-1,133,18,8.05842033745673e-05,5.95741680823234e-05,0.574951053846634
187,0.61,0.62,-1,134,18,0.000127135012188891,8.62791620922956e-05,0.595719626482647
188,0.62,0.63,-1,133,18,8.2146347161475e-05,8.4060213295006e-05,0.494242507250392
189,0.63,0.64,-1,133,18,0.00017874083291775,5.25837798097846e-05,0.772684025319345
190,0.64,0.65,-1,134,18,0.000225598603680924,6.68057867919261e-05,0.771529467516224
191,0.65,0.66,-1,133,18,0.000340676382141528,6.42308844220649e-05,0.84136890165695
192,0.66,0.67,-1,134,18,0.000146559068345286,5.78484237165992e-05,0.716994601650484
193,0.67,0.68,-1,133,18,0.000256086834913313,7.38903954057914e-05,0.77607426023203
194,0.68,0.69,-1,133,18,6.35872464065509e-05,7.3849934855153e-05,0.462664075491114
195,0.69,0.7,-1,134,18,0.000235939474309605,6.40376527895396e-05,0.786524881384124
196,0.7,0.71,-1,133,18,2.41934453200669e-05,7.84851098872847e-05,0.235623156862795
197,0.71,0.72,-1,133,18,0.000232771872786311,6.20593857322569e-05,0.78950879888352
198,0.72,0.73,-1,134,18,6.08818980065896e-05,0.000103995203589258,0.369256236416778
199,0.73,0.74,-1,133,18,9.17561181867998e-05,7.48423129706255e-05,0.550762198355253
200,0.74,0.75,-1,133,18,0.000136631627183294,7.83178977394688e-05,0.635645169406118
201,0.75,0.76,-1,133,18,0.000116926041852464,7.05122041185828e-05,0.623811011710626
202,0.76,0.77,-1,134,18,8.09025620251879e-05,6.64738112859167e-05,0.548952048469848
203,0.77,0.78,-1,133,18,0.000136543803865228,5.7052452949609e-05,0.705301879859299
204,0.78,0.79,-1,134,18,0.000453919048417972,5.78474335785557e-05,0.886965177256474
205,0.79,0.8,-1,133,18,0.000164846777141313,3.71465080665404e-05,0.816100282599413
206,0.8,0.81,-1,133,18,2.75689623822888e-05,9.43581308066931e-05,0.226110224243254
207,0.81,0.82,-1,134,18,0.000106454967409852,5.9860414442371e-05,0.640078904454195
208,0.82,0.83,-1,133,18,1.96962159633367e-05,8.41769565694778e-05,0.189617930049402
209,0.83,0.84,-1,133,18,0.000111615888760549,6.3546699113852e-05,0.637213060819712
210,0.84,0.85,-1,134,18,0.00017082584715538,5.34760574303188e-05,0.761588928417292
211,0.85,0.86,-1,133,18,9.48995916772802e-05,3.36094760291442e-05,0.738466112711018
212,0.86,0.87,-1,133,18,0.00013014689557744,8.00667015008561e-05,0.619117399570332
213,0.87,0.88,-1,134,18,0.00014805972603436,5.68243005680188e-05,0.722651387175738
214,0.88,0.89,-1,133,18,6.87410287287092e-05,8.1773616894225e-05,0.45670657791613
215,0.89,0.9,-1,133,18,0.000232237853326773,5.82116188501244e-05,0.799580910187812
216,0.9,0.91,-1,134,18,0.000365952732690883,5.88672659964831e-05,0.861430097033156
217,0.91,0.92,-1,133,18,0.000207687178951321,8.82053940844445e-05,0.701900614876931
218,0.92,0.93,-1,133,18,0.000401472288666854,9.68611737814055e-05,0.805629801969274
219,0.93,0.94,-1,134,18,9.92275197577343e-05,6.44925393184455e-05,0.606080405282307
220,0.94,0.95,-1,133,18,0.000216317244092682,4.0876411738898e-05,0.841067573744255
221,0.95,0.96,-1,133,18,0.0003693132145046,4.33925408619523e-05,0.894858406267166
222,0.96,0.97,-1,134,18,0.000450485862613501,7.30564314843339e-05,0.860457440959523
223,0.97,0.98,-1,133,18,0.000250088054958173,6.94818931381314e-05,0.782576886368575
