bin,referenceLeft_m,referenceRight_m,direction,samples,acquisition,signalEnergy,noiseEnergy,gate
179,0.53,0.54,-1,133,10,0.00247100875522403,8.92641084239421e-05,0.96513492382341
180,0.54,0.55,-1,134,10,0.00396429069488643,0.000113703353710019,0.972117822548281
181,0.55,0.56,-1,133,10,0.00432761900960078,0.000130016933574184,0.970832760855392
182,0.56,0.57,-1,133,10,0.00283285751876556,7.90540200321581e-05,0.972851503564288
183,0.57,0.58,-1,134,10,0.00251352344887364,0.000120527959092376,0.954242366444379
184,0.58,0.59,-1,133,10,0.0021985061306016,0.000129529725047468,0.944360940690342
185,0.59,0.6,-1,133,10,0.00304980657775638,0.000149388647521104,0.953304304050983
186,0.6,0.61,-1,133,10,0.00782411224972698,0.00020715548035232,0.974206378455488
187,0.61,0.62,-1,134,10,0.00231892544506808,0.000119814319850399,0.950870395614186
188,0.62,0.63,-1,133,10,0.00558070933212399,0.000172444204913443,0.970026142392466
189,0.63,0.64,-1,133,10,0.000895110681652377,0.000138766451085022,0.865780520053084
190,0.64,0.65,-1,134,10,0.00487219888132872,0.000129738229273123,0.974062402944224
191,0.65,0.66,-1,133,10,0.00145866216540651,0.000220295376385133,0.868790382781179
192,0.66,0.67,-1,134,10,0.00851079720273854,0.000187065564848938,0.978492927533182
193,0.67,0.68,-1,133,10,0.00172026385382001,0.000176829041759004,0.906789466045081
194,0.68,0.69,-1,133,10,0.00556602032651622,0.000195305967114286,0.966100519713628
195,0.69,0.7,-1,134,10,0.0021106847246253,0.000145313397362856,0.935587979463921
196,0.7,0.71,-1,133,10,0.000948640716763836,9.91100760672105e-05,0.905406823124979
197,0.71,0.72,-1,133,10,0.00195734273000921,9.4754509078366e-05,0.953825526747214
198,0.72,0.73,-1,134,10,0.00279648646001385,0.000157760265372023,0.94659881856976
199,0.73,0.74,-1,133,10,0.00218732610828846,9.74336443235762e-05,0.957354971693551
200,0.74,0.75,-1,133,10,0.00194655103261598,0.000102841342773391,0.949818617455405
201,0.75,0.76,-1,133,10,0.00258627963745869,0.000115872855255805,0.957118313800491
202,0.76,0.77,-1,134,10,0.00218256250486879,0.000148713008344585,0.936209595347397
203,0.77,0.78,-1,133,10,0.00217599220025663,0.000119248643426124,0.948045259061011
204,0.78,0.79,-1,134,10,0.00216067581823806,0.000171067877015954,0.926635214082859
205,0.79,0.8,-1,133,10,0.00225853421508597,0.000133653029506069,0.944129361191013
206,0.8,0.81,-1,133,10,0.00183149922914347,8.65911228178042e-05,0.954855555824436
207,0.81,0.82,-1,134,10,0.00182155937123497,0.000147603211244526,0.925042648810303
208,0.82,0.83,-1,133,10,0.00360371410027226,0.000101633076041665,0.97257124064073
209,0.83,0.84,-1,133,10,0.00249240197768143,0.000110973252403431,0.957373316331425
210,0.84,0.85,-1,134,10,0.0021838760962,9.26114025699691e-05,0.959318290735175
211,0.85,0.86,-1,133,10,0.0022778773210846,7.83280953162461e-05,0.966756678016684
212,0.86,0.87,-1,133,10,0.0029059132562403,0.000143443112263049,0.952959544596143
213,0.87,0.88,-1,134,10,0.00261372087492429,0.000158342976487142,0.942879029858378
214,0.88,0.89,-1,133,10,0.00289055254410288,6.89930533170907e-05,0.976687957307623
215,0.89,0.9,-1,133,10,0.0021922762212266,9.40614444611502e-05,0.958859338289012
216,0.9,0.91,-1,134,10,0.00402202634465098,0.000123251262404884,0.970267066747208
217,0.91,0.92,-1,133,10,0.00342819283946855,0.000113889404359265,0.967846764552765
218,0.92,0.93,-1,133,10,0.00382308041680354,0.000143716171558931,0.963770219027475
219,0.93,0.94,-1,134,10,0.0048963547408489,0.000139162905385038,0.972363733947171
220,0.94,0.95,-1,133,10,0.00160724996828086,0.000167623165684569,0.905557663544061
221,0.95,0.96,-1,133,10,0.00320150667140188,0.000199788717742825,0.941260991803166
222,0.96,0.97,-1,134,10,0.00400688566082634,0.000224183195838264,0.947014997053253
223,0.97,0.98,-1,133,10,0.00589014741888352,0.000193174617973487,0.968245209311113
224,0.98,0.99,-1,133,10,0.00404427670828655,0.000161130238253988,0.961684983093839
225,0.99,1,-1,134,10,0.00552739292348369,0.000143007876032989,0.97477993512466
226,1,1.01,-1,133,10,0.0012797767865541,0.000147468338824016,0.896676235776284
227,1.01,1.02,-1,133,10,0.00339389447306577,0.00010377260152786,0.970330909341931
228,1.02,1.03,-1,134,10,0.00169981601866179,9.08450450458082e-05,0.949267314241082
229,1.03,1.04,-1,133,10,0.00669266820271947,0.000157554960830436,0.977000025098629
230,1.04,1.05,-1,133,10,0.00224831264370453,0.000132912799374056,0.944183025693603
231,1.05,1.06,-1,134,10,0.00260613856365211,0.000166756820580059,0.93986184205567
232,1.06,1.07,-1,133,10,0.00123021377922717,7.93667353271622e-05,0.939395299147245
233,1.07,1.08,-1,133,10,0.00300041716893788,0.000108930347536217,0.964966814754839
234,1.08,1.09,-1,134,10,0.00302300963668515,0.000186895705754105,0.941775321756971
235,1.09,1.1,-1,133,10,0.00233399261816502,0.000156334966684137,0.937223131753726
236,1.1,1.11,-1,133,10,0.00276644592470764,6.76019313547448e-05,0.97614651029617
237,1.11,1.12,-1,134,10,0.00267431790820609,0.000137108211857203,0.951231792690993
238,1.12,1.13,-1,133,10,0.00191398565863463,0.000120520878690999,0.94076161640187
239,1.13,1.14,-1,133,10,0.00207541727212515,0.000189736166527523,0.91623694744477
240,1.14,1.15,-1,134,10,0.00245745383129606,0.000101876918949701,0.960193922204108
241,1.15,1.16,-1,133,10,0.00228324842933903,9.36100092238104e-05,0.960616077211392
242,1.16,1.17,-1,133,10,0.00233566871403833,8.35533438559549e-05,0.965462722372546
243,1.17,1.18,-1,134,10,0.00170740487975391,0.000104104113210534,0.942531826441461
244,1.18,1.19,-1,133,10,0.00291913774731198,0.000163445778309086,0.946977664368022
245,1.19,1.2,-1,133,10,0.00159336393695833,9.05188250470923e-05,0.94624398616725
246,1.2,1.21,-1,134,10,0.00171805121312054,0.000113028479428434,0.938272222728279
247,1.21,1.22,-1,133,10,0.00200979054379179,0.000124154081540364,0.941819445515819
248,1.22,1.23,-1,133,10,0.00232155284138798,9.10705652492492e-05,0.96225247380146
249,1.23,1.24,-1,134,10,0.0054302772370514,0.000116463547993301,0.979003246680048
250,1.24,1.25,-1,211,10,0.00361412367292464,0.000127074388528471,0.9660337714173
1,0,0.01,1,212,12,0,0.00180516583076368,0
2,0.01,0.02,1,133,12,0.00350875824919094,0.000233940874297825,0.937494074041475
3,0.02,0.03,1,134,12,0.00180140958165592,0.00019894472263457,0.900545257303739
4,0.03,0.04,1,133,12,0.000507495355226901,0.000112373744830712,0.81871374969285
5,0.04,0.05,1,133,12,0.00117170340696685,0.000164693951589746,0.876762737867406
6,0.05,0.06,1,133,12,0.000561674255077722,0.000109603840191399,0.836723645589154
7,0.06,0.07,1,134,12,0.000473211933824059,7.41403094815258e-05,0.864547354307391
8,0.07,0.08,1,133,12,0.00098568928544404,7.47712990990205e-05,0.929491675420225
9,0.08,0.09,1,134,12,0.00108928622912591,0.000125549493232835,0.896653110439437
10,0.09,0.1,1,133,12,0.000589578956226235,0.000223303893876876,0.725293879864054
11,0.1,0.11,1,133,12,0.00115872537354007,0.000135699743016421,0.89516601518254
12,0.11,0.12,1,134,12,0.0013677850193913,0.000148780433538112,0.901896463980024
13,0.12,0.13,1,133,12,0.00038116376193637,0.000149994816684357,0.717608219613337
14,0.13,0.14,1,133,12,0.000815599912962179,0.000123489751471092,0.868500574388052
15,0.14,0.15,1,134,12,0.00103759528908975,6.72833255829835e-05,0.939103423046238
16,0.15,0.16,1,133,12,0.00111724527810578,8.83909110756151e-05,0.926685253919235
17,0.16,0.17,1,133,12,0.00053948668101618,7.71943560200387e-05,0.87482288025097
18,0.17,0.18,1,134,12,0.000642844156883096,0.000136742076228968,0.824596599553712
19,0.18,0.19,1,133,12,0.000498818961740332,9.17289522167658e-05,0.844671448245214
20,0.19,0.2,1,133,12,0.000582786062448696,7.78996424096731e-05,0.882092738140335
